title,year,pride,tags,source,demo,description,img,paper,attached,site_doc
Gomoku tie probability,2013,6,vb; middle_school; math,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/Old%E5%85%88%E5%89%8D%E7%94%B5%E8%84%91%E4%B8%8A%E7%9A%84VB/%E4%BA%94%E5%AD%90%E6%A3%8B%E5%B9%B3%E5%B1%80%E6%A6%82%E7%8E%87,,"I posted my results on a forum and a bunch of college people invited me to their chess AI research QQ group. They were using alpha-beta branch cutting. After alpha-go, the group chat became a social chat. ",,,,
Oxford learner's dict client,2014,2,vb; high_school,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/Ox%E7%89%9B%E6%B4%A5%E5%AD%A6%E8%80%85%E5%AD%97%E5%85%B8,,,,,,
Pixel Dungeon Bot,2017,4,vb; bot; gui_2_api,https://github.com/Daniel-Chin/VB-Projects-Middleschool/blob/master/PixelWater/Form1.frm,,Failsafe. Many demos.,,,,
JackDiary,2015,2,vb; high_school; encryption,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/riji,,,,,,
Stocket,2016,6,vb; finance; game; multi_player; high_school,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/Stocket%E8%82%A1%E5%B8%82%E6%A8%A1%E6%8B%9F,,"Stock Market = Stocket… It also resembles ""ocket""…  ",,,,
Stream xor encryption,2016,1,vb; high_school; encryption,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/Stream,,,,,,
SuperCode,2014,5,vb; high_school; encryption,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/SuperCode,https://github.com/Daniel-Chin/VB-Projects-Middleschool/blob/master/SuperCode/%E8%AF%B4%E6%98%8E/ReadMe.txt#L43,,,,,
Time Clicker bot,2017,1,vb; middle_school; bot,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/TimeClicker,,"ASUS had an extra button. I used it as the panic button. ",,,,
Uplink Bible,2016,1,vb; high_school; encryption,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/UplinkBible,,,,,,
Uplink crackor,2015,1,vb; high_school; hack,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/UplinkBreaker,,,,,,
Win8 fullscreen fixer,2015,4,vb; high_school; hci,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/Win8FullscreenFixer,,"Uses my T2S lib to say cursor coordinates. ",,,,
Caption border macro,2015,3,vb; high_school; macro,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/ZiMu%E5%AD%97%E5%B9%95%E5%8A%A0%E6%A1%86,,"I used to make lets play videos with Windows 7 Media Editor. It did not support batch edit. This macro formats all close captions in a project using a hotkey loop. ",,,,
Inquiry into linear transformation,2015,4,vb; high_school; inquiry; math,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/%E5%8F%98%E6%8D%A2%E7%9F%A9%E9%98%B5,,"User can transform a shape in real-time by manipulating a matrix. I wrote it to help me get the intuition of linear tranformation. ",,,,
Vine growth,2015,4,vb; high_school; art,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/%E7%AA%97%E8%8A%B1%E5%AE%9E%E9%AA%8C,,,,,,
Classmate sampler,2015,2,vb; high_school; joke,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/%E5%90%8C%E5%AD%A6%E8%B0%83%E5%8F%96%E6%9C%BA,,"""Randomly"" select a classmate. I used it to cold-call Erwin in a class presentation. ",,,,
Imaginary plotter,2016,1,vb; high_school; math,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/%E8%99%9A%E6%95%B0%E4%BD%9C%E5%9B%BE,,,,,,
Mate selection simulation,2016,5,vb; high_school; simulation; evolution,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/%E5%8E%8B%E5%80%92%E6%80%A7%E4%BC%98%E5%8A%BF,,"Simulate a bi-sexual world evolution with sexual traits and sexual orientation traits inheritable. ",,,,
延迟斩杀,2016,4,vb; high_school; math; game_theory,https://github.com/Daniel-Chin/VB-Projects-Middleschool/tree/master/%E5%BB%B6%E8%BF%9F%E6%96%A9%E6%9D%80,,,,yanchizhansha.pdf,,
Tetris for Android,2018,1,android; java; game,https://github.com/Daniel-Chin/tetris-android,,"Built with GDX. ",,,tetris.apk,
Wechat moments (朋友圈) data scrape + client viewer,2018,5,python; data_scrape; tkinter,https://github.com/Daniel-Chin/Wechat-Moments-data-scrape-and-client-viewer,,,,,,
Undertale 南山南 remix,2017,3,music; remix; undertale; not_coding,,https://youtu.be/4eWzu_1WSgM,,,,,
Air bridge,2017,2,music; not_coding,,https://youtu.be/SdJcBPuh-UA,,,,,
Audio puzzles,2017,3,dsp; matlab; puzzle,,,"Can you find the secret message? ",,,AudioPuzzle.zip,
Math thoughts 2012,2012,2,not_coding,,,I had a notebook where I put math/sci thoughts in,,,Mazl.zip,
Metro station modeling,2014,1,colab; paper,,,"MCM project. Models people flow in a metro station. Colab with Erwin Yonghao Xu, Andy Zhiyuan Le, and Yi Zhu. I contributed relatively little work. ",,metro_station.pdf,,
Summer bug,2015,2,not_coding; music,,https://youtu.be/mY1fbKmzurI,,,,,
Song for WCJ,2014,3,not_coding; music,,https://youtu.be/Y4pmvQ_O0ac,,,,,
His theme + the World Revolving,2018,2,not_coding; music; remix; undertale,,https://youtu.be/js6Ix7vczis,,,,,
Black Bamboo,2017,3,not_coding; music,,https://youtu.be/M-KpYGP4gL8,,,,,
